# wave       flux     unc      tunc
  2.43238     5.04     0.05     0.05
  2.43250     5.04     0.05     0.05
  2.43263     5.03     0.05     0.05
  2.43275     5.03     0.05     0.05
  2.43288     5.03     0.05     0.05
  2.43300     5.03     0.05     0.05
  2.43313     5.03     0.05     0.05
  2.43325     5.02     0.05     0.05
  2.43338     5.02     0.05     0.05
  2.43350     5.01     0.05     0.05
  2.43363     5.01     0.05     0.05
  2.43375     5.01     0.05     0.05
  2.43388     5.00     0.05     0.05
  2.43400     5.00     0.05     0.05
  2.43413     5.00     0.05     0.05
  2.43425     5.00     0.05     0.05
  2.43438     5.01     0.05     0.05
  2.43450     5.01     0.05     0.05
  2.43463     5.02     0.05     0.05
  2.43475     5.02     0.05     0.05
  2.43488     5.03     0.05     0.05
  2.43500     5.03     0.05     0.05
  2.43513     5.03     0.05     0.05
  2.43525     5.03     0.05     0.05
  2.43538     5.03     0.05     0.05
  2.43550     5.03     0.05     0.05
  2.43563     5.03     0.05     0.05
  2.43575     5.03     0.05     0.05
  2.43588     5.03     0.05     0.05
  2.43600     5.03     0.05     0.05
  2.43613     5.03     0.05     0.05
  2.43625     5.04     0.05     0.05
  2.43638     5.05     0.05     0.05
  2.43650     5.06     0.05     0.05
  2.43663     5.08     0.04     0.04
  2.43675     5.10     0.04     0.04
  2.43688     5.11     0.04     0.04
  2.43700     5.12     0.04     0.04
  2.43713     5.13     0.04     0.04
  2.43725     5.15     0.04     0.04
  2.43738     5.16     0.04     0.04
  2.43750     5.17     0.04     0.04
  2.43763     5.17     0.04     0.04
  2.43775     5.18     0.04     0.04
  2.43788     5.17     0.04     0.04
  2.43800     5.17     0.04     0.04
  2.43813     5.17     0.04     0.04
  2.43825     5.15     0.04     0.04
  2.43838     5.13     0.04     0.04
  2.43850     5.12     0.04     0.04
  2.43863     5.10     0.04     0.04
  2.43875     5.08     0.04     0.04
  2.43888     5.06     0.04     0.04
  2.43900     5.04     0.04     0.04
  2.43913     5.03     0.04     0.04
  2.43925     5.02     0.04     0.04
  2.43938     5.02     0.04     0.04
  2.43950     5.02     0.04     0.04
  2.43963     5.02     0.04     0.04
  2.43975     5.02     0.04     0.04
  2.43988     5.03     0.04     0.04
  2.44000     5.04     0.04     0.04
  2.44013     5.04     0.04     0.04
  2.44025     5.04     0.04     0.04
  2.44038     5.05     0.04     0.04
  2.44050     5.05     0.04     0.04
  2.44063     5.05     0.04     0.04
  2.44075     5.05     0.04     0.04
  2.44088     5.04     0.04     0.04
  2.44100     5.03     0.04     0.04
  2.44113     5.03     0.04     0.04
  2.44125     5.03     0.04     0.04
  2.44138     5.03     0.04     0.04
  2.44150     5.02     0.04     0.04
  2.44163     5.02     0.04     0.04
  2.44175     5.02     0.04     0.04
  2.44188     5.02     0.04     0.04
  2.44200     5.02     0.04     0.04
  2.44213     5.02     0.04     0.04
  2.44225     5.02     0.04     0.04
  2.44238     5.02     0.04     0.04
  2.44250     5.02     0.04     0.04
  2.44263     5.01     0.04     0.04
  2.44275     5.00     0.04     0.04
  2.44288     4.99     0.04     0.04
  2.44300     4.98     0.04     0.04
  2.44313     4.97     0.04     0.04
  2.44325     4.97     0.04     0.04
  2.44338     4.96     0.04     0.04
  2.44350     4.95     0.04     0.04
  2.44363     4.95     0.04     0.04
  2.44375     4.95     0.04     0.04
  2.44388     4.94     0.04     0.04
  2.44400     4.94     0.04     0.04
  2.44413     4.95     0.04     0.04
  2.44425     4.95     0.04     0.04
  2.44438     4.95     0.04     0.04
  2.44450     4.94     0.04     0.04
  2.44463     4.95     0.04     0.04
  2.44475     4.95     0.04     0.04
  2.44488     4.95     0.04     0.04
  2.44500     4.94     0.04     0.04
  2.44513     4.94     0.04     0.04
  2.44525     4.93     0.04     0.04
  2.44538     4.92     0.04     0.04
  2.44550     4.92     0.04     0.04
  2.44563     4.90     0.04     0.04
  2.44575     4.90     0.04     0.04
  2.44588     4.89     0.04     0.04
  2.44600     4.88     0.04     0.04
  2.44613     4.88     0.04     0.04
  2.44625     4.88     0.03     0.03
  2.44638     4.89     0.03     0.03
  2.44650     4.90     0.03     0.03
  2.44663     4.91     0.03     0.03
  2.44675     4.93     0.03     0.03
  2.44688     4.94     0.03     0.03
  2.44700     4.95     0.03     0.03
  2.44713     4.96     0.03     0.03
  2.44725     4.98     0.03     0.03
  2.44738     4.98     0.03     0.03
  2.44750     5.00     0.03     0.03
  2.44763     5.00     0.03     0.03
  2.44775     5.02     0.03     0.03
  2.44788     5.02     0.03     0.03
  2.44800     5.03     0.03     0.03
  2.44813     5.03     0.03     0.03
  2.44825     5.03     0.03     0.03
  2.44838     5.03     0.03     0.03
  2.44850     5.03     0.03     0.03
  2.44863     5.03     0.03     0.03
  2.44875     5.02     0.03     0.03
  2.44888     5.01     0.03     0.03
  2.44900     5.01     0.03     0.03
  2.44913     5.00     0.03     0.03
  2.44925     4.99     0.03     0.03
  2.44938     4.98     0.03     0.03
  2.44950     4.98     0.03     0.03
  2.44963     4.98     0.03     0.03
  2.44975     4.97     0.03     0.03
  2.44988     4.97     0.03     0.03
  2.45000     4.96     0.03     0.03
  2.45013     4.96     0.03     0.03
  2.45025     4.95     0.03     0.03
  2.45038     4.94     0.03     0.03
  2.45050     4.93     0.03     0.03
  2.45063     4.92     0.03     0.03
  2.45075     4.92     0.03     0.03
  2.45088     4.92     0.03     0.03
  2.45100     4.92     0.03     0.03
  2.45113     4.92     0.03     0.03
  2.45125     4.92     0.03     0.03
  2.45138     4.93     0.03     0.03
  2.45150     4.94     0.03     0.03
  2.45163     4.95     0.03     0.03
  2.45175     4.95     0.03     0.03
  2.45188     4.95     0.03     0.03
  2.45200     4.96     0.03     0.03
  2.45213     4.96     0.03     0.03
  2.45225     4.96     0.03     0.03
  2.45238     4.96     0.03     0.03
  2.45250     4.96     0.03     0.03
  2.45263     4.95     0.03     0.03
  2.45275     4.95     0.03     0.03
  2.45288     4.95     0.03     0.03
  2.45300     4.95     0.03     0.03
  2.45313     4.95     0.03     0.03
  2.45325     4.96     0.03     0.03
  2.45338     4.96     0.03     0.03
  2.45350     4.96     0.03     0.03
  2.45363     4.97     0.03     0.03
  2.45375     4.97     0.03     0.03
  2.45388     4.98     0.03     0.03
  2.45400     4.99     0.03     0.03
  2.45413     4.99     0.03     0.03
  2.45425     5.00     0.03     0.03
  2.45438     5.01     0.03     0.03
  2.45450     5.02     0.03     0.03
  2.45463     5.02     0.03     0.03
  2.45475     5.03     0.03     0.03
  2.45488     5.04     0.03     0.03
  2.45500     5.04     0.03     0.03
  2.45513     5.04     0.03     0.03
  2.45525     5.04     0.03     0.03
  2.45538     5.03     0.03     0.03
  2.45550     5.02     0.03     0.03
  2.45563     5.01     0.03     0.03
  2.45575     5.00     0.03     0.03
  2.45588     4.99     0.03     0.03
  2.45600     4.99     0.03     0.03
  2.45613     4.98     0.03     0.03
  2.45625     4.97     0.03     0.03
  2.45638     4.97     0.03     0.03
  2.45650     4.96     0.03     0.03
  2.45663     4.95     0.03     0.03
